video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=cfhkLWNFSck&pp=ygULb2ZmaWNlIHdvcms%3D,/@pretendwork4023,PretendWork,Pretend Work / Fake Work Screen for General Office Work ( MAC ),149K,5 years,Stop pushing me to work ! ;) Platform: Mac Tools: Pages Numbers Calculator Google Pretend Work Screen for Android ...,33:25.1
/watch?v=tRO_TxWD33A&pp=ygULb2ZmaWNlIHdvcms%3D,/@HeartfulCafeMusic,Heartful Cafe Music,"Office Music Jazz & BossaNova Special Mix【For Work / Study】Restaurants BGM, Lounge Music, shop BGM.",8M,5 years,This channel will color your daily life with original background music to fill your mind. The relaxing atmosphere of the BGM will ...,33:25.1
/watch?v=Dv8p6oGuQq4&pp=ygULb2ZmaWNlIHdvcms%3D,/@WinterWhale,Winter Whale,"Soothing Office Sounds for Ultimate Concentration | Focus, Study, Work | Office White Noise, 백색소음",309K,2 years,"Office white noise. Recently, the amount of time people spend watching office sounds has been increasing. I feel even more proud ...",33:25.1
/watch?v=OcLbZFS4Ge8&list=RDOcLbZFS4Ge8&start_radio=1&pp=ygULb2ZmaWNlIHdvcmugBwE%3D,/@lewisluongrelaxation,LewisLuong Relaxation Cafe,Music for Office: 10 HOURS Music for Office Playlist and Music For Office Work,5.9M,9 years,Music for office with music for office playlist and music for office work and office environment of 2015 and 2016. Download this ...,33:25.1
/watch?v=6sQXSdzk6U4&pp=ygULb2ZmaWNlIHdvcmvSBwkJTwoBhyohjO8%3D,/@WinterWhale,Winter Whale,"Office Ambience | 4 Hours of Office Background Noise for Working, Studying | White Noise, 사무실 백색소음",784K,4 years,"Many people work from home as non-face-to-face work increases due to social distancing. Also, many people study at home.",33:25.1
/watch?v=HCXMS0F55BY&list=RDHCXMS0F55BY&start_radio=1&pp=ygULb2ZmaWNlIHdvcmugBwE%3D,/@musicbrokers,Music Brokers,Office Lounge & Chill - Cool Music,562K,4 years,Back to Work / Chilled Lounge Beats For Office or Home Office / #Sexy Music for Lounge Club / #Positive Chill Out #Lounge Beats ...,33:25.1
/watch?v=8tKpjMh_OUw&pp=ygULb2ZmaWNlIHdvcms%3D,/channel/UCnJk9mmcKpBN8hlxyjRDj9Q,myNoise • Focus • Relax • Sleep,OFFICE NOISES • When working from home feels too quiet!,1.2M,5 years,As featured on CBS and the BBC • Discover the interactive version here : https://mynoi.se/OFFICE • Available for free in the free ...,33:25.1
/watch?v=NO6urGav28E&pp=ygULb2ZmaWNlIHdvcmvSBwkJTwoBhyohjO8%3D,/@Ashleynguci,Ashleynguci,"1-hour work with me (no music, no break) keyboard ASMR, office ambience",167K,2 years,https://www.buymeacoffee.com/ashleynguci I tried to remove all the parts where people were talking in the background because ...,33:25.1
/watch?v=dsA_Cq40f1Y&t=136s&pp=ygULb2ZmaWNlIHdvcms%3D,/@LearnEnglishwithJessica,Learn English with Jessica,Speak English Confidently at Workplace | Business English Conversation for Beginners,361K,11 months,Do you feel nervous during a job interview or worry about making mistakes at work? Are you looking for practical conversations to ...,33:25.1
/watch?v=I0qpNCg4rMo&pp=ygULb2ZmaWNlIHdvcms%3D,/@ambiencehubchannel,Ambience Hub,Call Center Sounds - Work From Home - Office -  Ambience,8.4M,9 years,Download Here: https://sellfy.com/p/KvmN/# The sounds of a Call Center. Perfect for working from home or when you need an ...,33:32.8
/watch?v=uqzpT7rGXkM&pp=ygULb2ZmaWNlIHdvcms%3D,/@lonelyofficeasmr,Lonely Office ASMR,Office ASMR: Work With Me | Fax Machine-Retro Keyboard Typing-Sorting Files-Calculator-Turning Pages,60K,4 years,"Hi again and welcome to Lonely Office ASMR! If you enjoy this video, please consider liking, commenting, and subscribing, ...",33:32.8
/watch?v=1opfUeW1YAc&pp=ygULb2ZmaWNlIHdvcms%3D,/@PoisabloomASMR,Poisabloom ASMR,"ASMR Working Overtime (Office Work, Paperwork, Typing) • No Talking",211K,1 year,asmroffice #asmrpapersorting #asmrtyping Office sounds aplenty in this video! Some backstory: This video was filmed on one of ...,33:32.8
/watch?v=AcQ3Di2Gewc&pp=ygULb2ZmaWNlIHdvcms%3D,/channel/UCLp9767ti0Y0kjKQXay5HRg,utopic.dreamer,"𝙄𝙩'𝙨 𝟭𝟵𝟴𝟳 𝙖𝙣𝙙 𝙮𝙤𝙪 𝙨𝙩𝙖𝙮𝙚𝙙 𝙡𝙖𝙩𝙚 𝙖𝙩 𝙩𝙝𝙚 𝙤𝙛𝙛𝙞𝙘𝙚 // officewave, vaporwave, chillwave",926K,5 months,"ｓｏｍｅｔｈｉｎｇ ａｂｏｕｔ ｔｈａｔ ｎｉｇｈｔ // vaporwave, chillwave, officewave - This synthwave playlist brings back the ...",33:32.8
/watch?v=NciV3gPQmAw&pp=ygULb2ZmaWNlIHdvcms%3D,/@PexBell,PexBell,Office Work Stock Footage - Office Work Free Stock Videos - Office Work No Copyright Videos,53K,4 years,Please Support the channel by purchasing anything. Thanks for your support! https://amzn.to/3rbOh4X Mic: Boya M1 ...,33:32.8
/watch?v=mVRvCiiFEkI&pp=ygULb2ZmaWNlIHdvcms%3D,/@lonelyofficeasmr,Lonely Office ASMR,Office ASMR: Work With Me | Episode 102,1.8K,3 months,"Hi again and welcome to Lonely Office ASMR! If you enjoy this video, please consider liking, commenting, and subscribing, ...",33:32.9
/watch?v=kUYrGndgfSA&pp=ygULb2ZmaWNlIHdvcmvSBwkJTwoBhyohjO8%3D,/@lonelyofficeasmr,Lonely Office ASMR,Office ASMR: [1 Hour] Work With Me |Data Entry-Typing-Mail Sorting-Folders-Calendar-Phone Calls-More,45K,4 years,"Hi again and welcome to Lonely Office ASMR! If you enjoy this video, please consider liking, commenting, and subscribing, ...",33:32.9
/watch?v=Tg5_DjW6_p0&pp=ygULb2ZmaWNlIHdvcmvSBwkJTwoBhyohjO8%3D,/@wsj,The Wall Street Journal,"The Office Design Strategies of Amazon, Samsung, Adobe and Others | WSJ Open Office",1.1M,2 years,"Amazon, Samsung, Adobe and other major companies have redesigned their offices to incorporate technology, collaborative work ...",33:32.9
/watch?v=rdzxroX5_bE&pp=ygULb2ZmaWNlIHdvcms%3D,/@biggtugg,Big Tugg,Why Office Jobs Kinda SUCK,1.1M,2 years,Want an EXTRA tugg? Head to https://extratugg.com for videos that YouTube won't let me post (and a bunch of other cool stuff) ...,33:32.9
/watch?v=GEGyd175qvw&pp=ygULb2ZmaWNlIHdvcms%3D,/@wheresdav,wheresdav,Office Jobs made absolutely no sense...,239K,3 months,you spend all your years grinding in school just to end up in an office… only to realize there's no way this was the end goal.,33:32.9
/watch?v=8cF442d-EdQ&pp=ygULb2ZmaWNlIHdvcms%3D,/@TED,TED,Is Remote Work Better Than Being in the Office? It's Complicated | Mark Mortensen | TED,178K,2 years,Opinions about remote work are plentiful and conflicting -- but what does the research say? Organizational design expert Mark ...,33:32.9
/watch?v=nZcHmGqTIsE&pp=ygULb2ZmaWNlIHdvcms%3D,/@LowBudgetStories,Low Budget Stories,Life of an Office Employee,1.2M,1 year,"This Wojak meme video is about the life of an office employee, or life at the office. We follow Michael, a wage doomer, through his ...",33:32.9
/watch?v=NTe5grrbGMM&pp=ygULb2ZmaWNlIHdvcms%3D,/@ellenalicemiller,Ellen Miller,WORKING 9-5 OFFICE JOB IN LONDON ☕️ day in my life as a management consultant,774K,2 years,Black Friday Exclusive: 75% off on Blinkist Premium valid only until November 30th! https://bit.ly/EllenMiller Spend the day with me ...,33:32.9
/watch?v=YdiWTYkY1uY&pp=ygULb2ZmaWNlIHdvcms%3D,/@PaolofromTOKYO,Paolo fromTOKYO,Day in the Life of a Typical Japanese Office Worker in Tokyo,17M,6 years,"Living in Japan and working in a Tokyo office - This is a Tokyo day in the life of a Japanese Office Worker, 24 year old, Emi. This is ...",33:32.9
/watch?v=inDFBcWFaLc&pp=ygULb2ZmaWNlIHdvcms%3D,/@RachelVinn,Rachel Vinn,What I REALLY do all day at my 8-5 office job // Dealing with work stress & finding balance,214K,4 years,Work day in the life at my 8-5 office job! Check out Felix Gray blue light glasses: https://bit.ly/rachel-vinn next work day vlog & office ...,33:32.9
/shorts/Aib0Ml_JgHw,/@maisyleigh,Maisy Leigh,a gloomy work from home day ☁️🖥️🕯️ | do you like them or hate them? #wfh #workfromhome #desksetup,649K,3 years,a gloomy work from home day ☁️🖥️🕯️ | do you like them or hate them? hello hello!! ☁️ how is your Tuesday? I spent the ...,33:40.9
/watch?v=4aml7vn020U&t=76s&pp=ygULb2ZmaWNlIHdvcms%3D,/@5-DLeadership,Ginny Clarke,Office Politics: The Game You Must Learn to Play,344K,11 months,Join me and Khaleeqa Rouse as we tackle workplace politics head-on. With 80% of employees reporting office politics in their ...,33:40.9
/shorts/TfYvt1Fehyo,/@landokalriz,Lando Kalriz,When You Hire Someone to Work Your Office Job #shorts,1.6M,11 months,work #9to5 #officejob.,33:40.9
/shorts/H6QJoy0toUc,/@KarinaFox93,Karina Fox,Creating my dream cozy desk setup ✨🕯️ Aesthetic Desk Setup ☁️  #desksetup  #amazonfinds #aesthetic,133K,6 months,Welcome to my calm cozy neutral desk setup ☁️🕯️✨ This feminine neutral workspace glow-up features my fave Amazon desk ...,33:40.9
/shorts/0nvNRnqWpSA,/@arabellastokes,arabella,set up my desk with me,4.7M,6 months,"just moved into the new apartment, so let's set up my desk! ☁️ i sit here for 8+ hours a day, so i obsess over every little detail.",33:40.9
/watch?v=jrsRvozsUQ8&pp=ygULb2ZmaWNlIHdvcms%3D,/@HowMoneyWorks,How Money Works,Why Companies NEED People Back In The Office,1.7M,2 years,Get a 7-day free trial and 25% off Blinkist Annual Premium by clicking here: https://www.blinkist.com/howmoneyworks Join my ...,33:40.9
/shorts/lmoloFyMjSg,/@eclipse3d-design,ECLiPSE3D,Modern Home Office Setup for Maximum Productivity 🌿✨,153K,5 months,Step into this modern and cozy home office setup designed to inspire creativity and boost productivity! ✨ Perfect for remote ...,33:40.9
/shorts/1LAiiBitMQc,/@jobhaiofficial,Job Hai,Back Office Jobs For 12th Pass & Graduates| Back Office Jobs Skills| #backoffice #jobs #skills,539K,3 years,After 12th/ graduation you can choose #backoffice jobs for a career start. Watch this video and understand the #skills required for ...,33:40.9
/watch?v=A1xU07u_vOE&pp=ygULb2ZmaWNlIHdvcms%3D,/@marikeyshappyhomedecor4876,Mari Keys Happy Home Decor,WORK OFFICE TOUR AND DECOR | DECORATING MY REAL JOB OFFICE,80K,3 years,"Hola happys, cómo están? In this video I share how I decorated my real job office. I've been working in a Refinery for 6 years and ...",33:40.9
/watch?v=W4d68R50amc&pp=ygULb2ZmaWNlIHdvcms%3D,/@TheOffice,The Office,The Office being a dangerous place to work for 14 minutes straight,8.6M,5 years,"""It's better to be hurt by someone you know accidentally, than by a stranger on purpose"" - Dwight K Schrute Streaming now on ...",33:40.9
/shorts/aiPHHfmMYKw,/@thedisciplined22,The Disciplined,Office work pressure and Politics- Gaur Gopal Das💥,280K,2 years,motivation #motivationalquotes #motivational #motivationmonday #motivationalquote #MotivationalSpeaker ...,33:40.9
/shorts/jwFs6LcGL1U,/@conceptclearcentre7620,Concept Clear Centre,Top 5 Back Office Job Interview Questions and answers to ace your Dream Job,71K,6 months,... office job for fresher Back office job process Easy back office interview questions Top back office questions Back office work ...,33:40.9
/shorts/j4IPawb3vKg,/@lovelyharbor,Lovely Harbor,21 Clever Small Office Ideas For Home And Work Spaces,78K,6 months,"These 21 small office ideas are perfect for home offices, small business setups, or work-from-home corners. You'll find modern ...",33:48.6
/shorts/4zlqjV0qIwI,/@minimacsystems,Minimac Systems,When you actually enjoy your work #workload  #office #employees,17K,2 years,When you actually enjoy your work #workload #working #office #employees ...,33:48.6
/shorts/DIkkpwTydvA,/@AlexHormozi,Alex Hormozi,3 Hacks To Make Work Suck Less,1.6M,1 year,Want my books for free? Go here: https://www.acquisition.com/audiobooks Want physical copies? Go here: ...,33:48.6
/shorts/2b0wBQxDQho,/@kamraninfo,kamran info,ca firm working | ca office | ca firm | kamran info,226K,4 years,ca firm work ca firm ca firm job ca firm working ca firm live ca office work of accountant accountant work accountant job kamran ...,33:48.6
/watch?v=zD7l13yMa7M&list=RDzD7l13yMa7M&start_radio=1&pp=ygULb2ZmaWNlIHdvcmugBwE%3D,/@ClassicalTunes,Classical Tunes,Work Classical Music | Concentration Brain Power Focus Office Studio Meeting Conference Background,317K,6 years,"Subscribe and turn on notifications to be alerted of our uploads! https://bit.ly/3l3yzDc If you like our work, feel free to pay us a ...",33:48.6
/shorts/70lTRs3ItFQ,/@ThatIndianEngineer,That Indian Engineer in UK 🇬🇧,My IT Office short tour | Tracelink #software #company #walkaround #walkingtour #vlog #trend,744K,2 years,"Quick tour at Tracelink, Pune, India.",33:48.6
/shorts/cZUNp9aQlpo,/@Skyarch,Skyarch Designs,Office Interior #shorts #office #interior,994K,2 years,Office Interior #shorts #office #interior ↳ LINKS GEAR I USED Canon 200d Mark ii:- https://amzn.to/3RQKq8j Canon Lens:- ...,33:48.6
/shorts/7Omqf-i6yUo,/@sharda_computer,Sharda Computer ,"Best MS Office Tricks | How to Start MS Word, Excel, PowerPoint",964K,1 year,"Best MS Office Tricks | How to Start MS Word, Excel, PowerPoint | PC Useful Tips & Tricks Welcome to Sharda Computer Classes!",33:48.6
/shorts/_yX7lFNTokU,/@JMMLawFirm,Jimenez Mazzitelli Mordes Law,Day in the Life of a Legal Assistant,222K,2 years,Behind every successful lawyer is a team of hard working people #legalassistantlife #lawyerlife #miamilawyer ...,33:48.6
/shorts/XD1AkLbeh7U,/@Ladies_Pouch_1B,Ladies Pouch,"Oxford lightweight long strap office work shoulder bag trending new design "" #shortsfeed",8.6K,9 hours,"All varieties are available for women in modern styles that can be used in different ways according to every occasion and need, ...",33:48.6
/shorts/PTs6n_ukaQY,/@techgurunarendra,TechGuru Narendra,Laptop for students & office work  under 35000 | hp 15s fq5327tu | backlit keyboard laptop,148K,1 year,Laptop for students & office work under 35000 | hp 15s fq5327tu | backlit keyboard laptop Hp 15s intel Cote i5 12th Gen 1215u ...,33:48.6
